;test_id;cycle_num;datapoint_num_last;last_test_time;charge_capacity;discharge_capacity;coulombic_efficiency;coulombic_difference;charge_capacity_loss;discharge_capacity_loss;test_cumulated_charge_capacity;test_cumulated_discharge_capacity;test_cumulated_coulombic_difference;test_cumulated_charge_capacity_loss;test_cumulated_discharge_capacity_loss;potential_end_discharge;potential_end_charge;charge_c_rate;discharge_c_rate;cumulated_coulombic_efficiency;shifted_charge_capacity;shifted_discharge_capacity;cumulated_ric;cumulated_ric_sei;cumulated_ric_disconnect;normalized_cycle_index;test_cumulated_capacity_throughput;equivalent_full_cycles;discharge_capacity_gravimetric;charge_capacity_gravimetric;test_cumulated_charge_capacity_gravimetric;test_cumulated_discharge_capacity_gravimetric;coulombic_difference_gravimetric;test_cumulated_coulombic_difference_gravimetric;discharge_capacity_loss_gravimetric;charge_capacity_loss_gravimetric;test_cumulated_discharge_capacity_loss_gravimetric;test_cumulated_charge_capacity_loss_gravimetric;discharge_capacity_areal;charge_capacity_areal;test_cumulated_charge_capacity_areal;test_cumulated_discharge_capacity_areal;coulombic_difference_areal;test_cumulated_coulombic_difference_areal;discharge_capacity_loss_areal;charge_capacity_loss_areal;test_cumulated_discharge_capacity_loss_areal;test_cumulated_charge_capacity_loss_areal;discharge_capacity_absolute;charge_capacity_absolute;test_cumulated_charge_capacity_absolute;test_cumulated_discharge_capacity_absolute;coulombic_difference_absolute;test_cumulated_coulombic_difference_absolute;discharge_capacity_loss_absolute;charge_capacity_loss_absolute;test_cumulated_discharge_capacity_loss_absolute;test_cumulated_charge_capacity_loss_absolute
10;0;11;67004;3431909.8325336836;0.003465886982278;0.003424037760495;98.7925393413869;4.1849221783000004e-05;4.360531407000129e-06;-1.6057350698999665e-05;0.03515948304229899;0.033889643757133;0.0012698392851659998;0.00035267258626000024;-0.00010000194117799985;2.999878406524658;4.200051784515381;302.53642;302.2341;964.9997042173563;0.0012698392851659998;0.004735726267444;-inf;inf;-inf;29299.569201915827;0.06904912679943198;28770.469499763327;2853.3648004125002;2888.239151898333;29299.569201915827;28241.369797610834;34.87435148583334;1058.199404305;-13.381125582499722;3.6337761725001076;-83.33495098166655;293.89382188333354;3.424037760495;3.465886982278;35.15948304229899;33.889643757133;0.041849221783000004;1.2698392851659999;-0.016057350698999665;0.004360531407000129;-0.10000194117799985;0.35267258626000025;3.424037760495;3.465886982278;35.15948304229899;33.889643757133;0.041849221783000004;1.2698392851659999;-0.016057350698999665;0.004360531407000129;-0.10000194117799985;0.35267258626000025
11;0;12;67546;3468804.312967799;0.003400286796616;0.00329784552386;96.98727551870181;0.00010244127275600007;6.560018566199996e-05;0.00012619223663500002;0.03855976983891499;0.037187489280993;0.0013722805579219999;0.0004182727719220002;2.6190295457000166e-05;2.999878406524658;4.200051784515381;603.89246;603.47702;1061.9869797360582;0.0013722805579219999;0.004772567354538;-inf;inf;-inf;32133.141532429156;0.07574725911990798;31561.35796662833;2748.204603216667;2833.5723305133333;32133.141532429156;30989.5744008275;85.36772729666673;1143.5671316016667;105.16019719583336;54.66682138499996;21.825246214166807;348.56064326833354;3.29784552386;3.4002867966159998;38.55976983891499;37.187489280993;0.10244127275600007;1.3722805579219999;0.126192236635;0.06560018566199996;0.026190295457000166;0.4182727719220002;3.29784552386;3.4002867966159998;38.55976983891499;37.187489280993;0.10244127275600007;1.3722805579219999;0.126192236635;0.06560018566199996;0.026190295457000166;0.4182727719220002
12;0;13;68069;3505698.0102857053;0.003338010184625;0.003359875445448;100.65503876901612;-2.186526082300017e-05;6.227661199099998e-05;-6.202992158800026e-05;0.041897780023539985;0.040547364726441;0.0013504152970989997;0.00048054938391300017;-3.5839626131000096e-05;2.999878406524658;4.200051784515381;603.92257;603.43519;1162.6420185050742;0.0013504152970989997;0.004688425481724;-inf;inf;-inf;34914.816686283324;0.08244514474998099;34352.14364582542;2799.8962045400003;2781.6751538541666;34914.816686283324;33789.4706053675;-18.221050685833475;1125.3460809158332;-51.69160132333355;51.89717665916665;-29.866355109166747;400.45781992750017;3.359875445448;3.338010184625;41.89778002353999;40.547364726441;-0.02186526082300017;1.3504152970989998;-0.06202992158800026;0.06227661199099997;-0.0358396261310001;0.48054938391300017;3.359875445448;3.338010184625;41.89778002353999;40.547364726441;-0.02186526082300017;1.3504152970989998;-0.06202992158800026;0.06227661199099997;-0.0358396261310001;0.48054938391300017
13;0;14;68602;3542491.6652435185;0.003371686092389;0.003305987401204;98.0514588432979;6.569869118500018e-05;-3.367590776400019e-05;5.3888044244000156e-05;0.04526946611592898;0.043853352127645;0.0014161139882839999;0.000446873476149;1.804841811300006e-05;2.999878406524658;4.200051784515381;603.91391;603.38106;1260.6934773483722;0.0014161139882839999;0.004787800080673;-inf;inf;-inf;37724.55509660749;0.08912281824357399;37134.50760148916;2754.9895010033333;2809.738410324167;37724.55509660749;36544.46010637083;54.748909320833484;1180.0949902366667;44.9067035366668;-28.06325647000016;15.040348427500051;372.3945634575;3.305987401204;3.371686092389;45.269466115928985;43.853352127644996;0.06569869118500019;1.416113988284;0.053888044244000156;-0.03367590776400019;0.01804841811300006;0.44687347614899997;3.305987401204;3.371686092389;45.269466115928985;43.853352127644996;0.06569869118500019;1.416113988284;0.053888044244000156;-0.03367590776400019;0.01804841811300006;0.44687347614899997
14;0;15;69108;3558581.641416339;0.003207188208568;0.003076328468309;95.91979853538348;0.00013085974025900003;0.00016449788382100032;0.00022965893289500017;0.048476654324496986;0.046929680595953996;0.001546973728543;0.0006113713599700003;0.00024770735100800023;2.999878406524658;4.200051784515381;1509.78751;1509.1226;1356.6132758837557;0.001546973728543;0.004754161937111;-inf;inf;-inf;40397.21193708082;0.09540633492045097;39752.63955018791;2563.6070569241665;2672.6568404733334;40397.21193708082;39108.067163294996;109.04978354916669;1289.1447737858332;191.38244407916682;137.0815698508336;206.42279250666687;509.4761333083336;3.0763284683089998;3.2071882085679997;48.476654324496984;46.929680595954;0.13085974025900002;1.5469737285429999;0.22965893289500017;0.16449788382100033;0.24770735100800023;0.6113713599700002;3.0763284683089998;3.2071882085679997;48.476654324496984;46.929680595954;0.13085974025900002;1.5469737285429999;0.22965893289500017;0.16449788382100033;0.24770735100800023;0.6113713599700002
15;0;16;69584;3567847.1639819783;0.002930382490013;0.002769126357556;94.49709609559247;0.00016125613245700004;0.000276805718555;0.000307202110753;0.05140703681450998;0.04969880695351;0.001708229861;0.0008881770785250003;0.0005549094617610002;2.999878406524658;4.200051784515381;3018.64298;3018.07319;1451.1103719793482;0.001708229861;0.004638612351013;-inf;inf;-inf;42839.19734542499;0.10110584376801998;42127.43490334166;2307.605297963333;2441.9854083441664;42839.19734542499;41415.672461258335;134.38011038083337;1423.5248841666667;256.00175896083334;230.67143212916667;462.42455146750024;740.1475654375002;2.769126357556;2.9303824900129998;51.407036814509986;49.69880695351;0.16125613245700005;1.708229861;0.30720211075299997;0.27680571855499997;0.5549094617610002;0.8881770785250003;2.769126357556;2.9303824900129998;51.407036814509986;49.69880695351;0.16125613245700005;1.708229861;0.30720211075299997;0.27680571855499997;0.5549094617610002;0.8881770785250003
16;0;17;70047;3576960.2365498943;0.002782606359662;0.002763499634968;99.3133515048704;1.910672469399976e-05;0.00014777613035100003;5.626722587999747e-06;0.054189643174171985;0.052462306588477996;0.0017273365856939997;0.0010359532088760003;0.000560536184349;2.999878406524658;4.200051784515381;3018.6317;3018.07873;1550.4237234842185;0.0017273365856939997;0.0045099429453559995;-inf;inf;-inf;45158.035978476655;0.10665194976264998;44438.31240110416;2302.9163624733333;2318.8386330516664;45158.035978476655;43718.58882373167;15.922270578333134;1439.4471547449998;4.688935489999789;123.14677529250002;467.1134869575;863.2943407300003;2.763499634968;2.7826063596619997;54.189643174171984;52.46230658847799;0.01910672469399976;1.7273365856939997;0.005626722587999747;0.14777613035100004;0.560536184349;1.0359532088760004;2.763499634968;2.7826063596619997;54.189643174171984;52.46230658847799;0.01910672469399976;1.7273365856939997;0.005626722587999747;0.14777613035100004;0.560536184349;1.0359532088760004
17;0;18;70509;3586047.1167280828;0.002764926859857;0.002754885572727;99.63683353524515;1.0041287130000028e-05;1.767949980499995e-05;8.614062241000219e-06;0.056954570034028984;0.05521719216120499;0.0017373778728239997;0.0010536327086810003;0.0005691502465900002;2.9995713233947754;4.200051784515381;3018.66298;3018.09795;1650.0605570194637;0.0017373778728239997;0.004502304732681;-inf;inf;-inf;47462.141695024155;0.11217176219523398;46738.23424801416;2295.7379772725;2304.1057165475;47462.141695024155;46014.326801004165;8.367739275000023;1447.8148940199999;7.178385200833516;14.732916504166626;474.2918721583335;878.0272572341669;2.754885572727;2.764926859857;56.95457003402898;55.21719216120499;0.010041287130000028;1.7373778728239997;0.008614062241000219;0.01767949980499995;0.5691502465900002;1.0536327086810002;2.754885572727;2.764926859857;56.95457003402898;55.21719216120499;0.010041287130000028;1.7373778728239997;0.008614062241000219;0.01767949980499995;0.5691502465900002;1.0536327086810002
18;0;19;70943;3591908.965888569;0.002446846180643;0.002104310153263;86.00091701350895;0.00034253602738000023;0.0003180806792139998;0.000650575419464;0.05940141621467199;0.05732150231446799;0.002079913900204;0.001371713387895;0.0012197256660540002;2.999878406524658;4.200051784515381;6037.92155;6037.04941;1736.0614740329727;0.002079913900204;0.004526760080847;-inf;inf;-inf;49501.18017889332;0.11672291852913998;48634.54938714166;1753.5917943858333;2039.0384838691668;49501.18017889332;47767.918595389994;285.44668948333356;1733.2615835033334;542.1461828866667;265.0672326783332;1016.4380550450002;1143.0944899125002;2.104310153263;2.446846180643;59.40141621467199;57.32150231446799;0.3425360273800002;2.079913900204;0.650575419464;0.3180806792139998;1.2197256660540001;1.371713387895;2.104310153263;2.446846180643;59.40141621467199;57.32150231446799;0.3425360273800002;2.079913900204;0.650575419464;0.3180806792139998;1.2197256660540001;1.371713387895
19;0;20;71367;3597594.6532579847;0.002109017327497;0.002087454966744;98.97761101950782;2.15623607530001e-05;0.0003378288531460001;1.685518651899998e-05;0.06151043354216899;0.05940895728121199;0.002101476260957;0.0017095422410410002;0.0012365808525730002;2.999878406524658;4.200051784515381;6037.955;6037.07183;1835.0390850524805;0.002101476260957;0.004210493588454;-inf;inf;-inf;51258.69461847416;0.12091939082338098;50383.07950974208;1739.54580562;1757.5144395808334;51258.69461847416;49507.464401009995;17.968633960833415;1751.2302174641668;14.045988765833316;281.5240442883334;1030.4840438108336;1424.6185342008337;2.0874549667439997;2.109017327497;61.51043354216899;59.40895728121199;0.0215623607530001;2.101476260957;0.01685518651899998;0.3378288531460001;1.2365808525730002;1.7095422410410002;2.0874549667439997;2.109017327497;61.51043354216899;59.40895728121199;0.0215623607530001;2.101476260957;0.01685518651899998;0.3378288531460001;1.2365808525730002;1.7095422410410002
20;0;21;71794;3603264.019060502;0.002085131274576;0.0020784126373;99.67778348740339;6.718637275999941e-06;2.388605292099992e-05;9.042329443999762e-06;0.06359556481674498;0.06148736991851199;0.002108194898233;0.001733428293962;0.001245623182017;2.999878406524658;4.200051784515381;6037.93791;6037.06686;1934.7168685398838;0.002108194898233;0.0041933261728090004;-inf;inf;-inf;52996.304013954155;0.12508293473525697;52117.889473023744;1732.0105310833335;1737.60939548;52996.304013954155;51239.474932093326;5.598864396666618;1756.8290818608334;7.535274536666469;19.90504410083327;1038.0193183475;1444.523578301667;2.0784126373;2.0851312745760002;63.59556481674498;61.48736991851199;0.006718637275999941;2.108194898233;0.009042329443999762;0.02388605292099992;1.2456231820169998;1.733428293962;2.0784126373;2.0851312745760002;63.59556481674498;61.48736991851199;0.006718637275999941;2.108194898233;0.009042329443999762;0.02388605292099992;1.2456231820169998;1.733428293962
21;0;22;72927;3729651.0600384455;0.002830710135265;0.003330624942127;117.6604026189068;-0.0004999148068620001;-0.0007455788606889999;-0.001252212304827;0.06642627495200998;0.064817994860639;0.0016082800913709999;0.0009878494332730002;-6.589122810000004e-06;2.999878406524658;4.200051784515381;150.70329;150.41406;2052.377271158791;0.0016082800913709999;0.004438990226636;-inf;inf;-inf;55355.22912667498;0.13124426981264897;54685.112421937076;2775.5207851058335;2358.9251127208336;55355.22912667498;54014.99571719916;-416.5956723850001;1340.2334094758332;-1043.5102540225;-621.3157172408332;-5.490935675000004;823.2078610608336;3.330624942127;2.830710135265;66.42627495200998;64.81799486063899;-0.4999148068620001;1.6082800913709998;-1.252212304827;-0.7455788606889999;-0.006589122810000004;0.9878494332730002;3.330624942127;2.830710135265;66.42627495200998;64.81799486063899;-0.4999148068620001;1.6082800913709998;-1.252212304827;-0.7455788606889999;-0.006589122810000004;0.9878494332730002
22;0;23;74199;3868381.8791447724;0.003439125920572;0.00334164728746;97.16559860373512;9.747863311200013e-05;-0.0006084157853070002;-1.1022345332999898e-05;0.06986540087258197;0.068159642148099;0.001705758724483;0.00037943364796600007;-1.7611468142999902e-05;2.999878406524658;4.200051784515381;150.72122;150.40608;2149.5428697625257;0.001705758724483;0.005144884645055;-inf;inf;-inf;58221.167393818316;0.13802504302068097;57510.434591950405;2784.7060728833335;2865.9382671433336;58221.167393818316;56799.7017900825;81.23219426000011;1421.4656037358334;-9.185287777499916;-507.0131544225002;-14.676223452499919;316.1947066383334;3.34164728746;3.439125920572;69.86540087258197;68.159642148099;0.09747863311200013;1.705758724483;-0.011022345332999898;-0.6084157853070001;-0.017611468142999902;0.37943364796600004;3.34164728746;3.439125920572;69.86540087258197;68.159642148099;0.09747863311200013;1.705758724483;-0.011022345332999898;-0.6084157853070001;-0.017611468142999902;0.37943364796600004
23;0;24;75472;4007373.545628072;0.003450359576401;0.003344291836583;96.92589315781872;0.00010606773981799988;-1.1233655828999864e-05;-2.644549123000106e-06;0.07331576044898297;0.071503933984682;0.0018118264643009999;0.0003681999921370002;-2.0256017266000008e-05;2.999878406524658;4.200051784515381;150.72947;150.4222;2246.4687629203445;0.0018118264643009999;0.005262186040701999;-inf;inf;-inf;61096.467040819145;0.14481969443366496;60341.539347360405;2786.9098638191667;2875.2996470008334;61096.467040819145;59586.611653901666;88.38978318166657;1509.8553869175;-2.203790935833422;-9.361379857499887;-16.88001438833334;306.83332678083354;3.344291836583;3.450359576401;73.31576044898297;71.50393398468199;0.10606773981799988;1.8118264643009998;-0.002644549123000106;-0.011233655828999864;-0.020256017266000008;0.3681999921370002;3.344291836583;3.450359576401;73.31576044898297;71.50393398468199;0.10606773981799988;1.8118264643009998;-0.002644549123000106;-0.011233655828999864;-0.020256017266000008;0.3681999921370002
